B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory,T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils
BLK,BLK,CD79A,CD69,LTB,CD69,CCL20,CD69,LTB,CD244,IL18R1,CD69,P2RY13,AQP9,TNFAIP6,P2RY13,CD1C,TNFAIP6,IL18R1,IL18R1,P2RY13,P2RY13
CD19,CD19,FCRL2,LTB,CD247,LTB,GZMB,TNFRSF4,IL2RA,GZMB,CD244,LTB,TLR8,C5AR1,TLR8,TLR8,CCL18,CCL20,CPA3,CPA3,IL18R1,TNFAIP6
CD1C,CD1C,HLA-DOB,GZMB,LCK,CCL5,CSF2,LAG3,CD4,CCL5,GZMB,IL18R1,AQP9,CXCL3,AQP9,CCL18,TREM2,CCL18,HDC,HDC,CD244,TLR8
CD69,CD69,PNOC,CCL5,SH2D1A,CD4,IL2RA,CXCL13,CD247,LAG3,CCL5,CD244,LILRB2,CCL18,LILRB2,TREM2,CCL13,TREM2,MS4A2,MS4A2,SAMSN1,AQP9
CD79A,CD79A,CD38,LAG3,GZMM,CD247,TNFRSF4,CD247,LCK,CD247,CD247,GZMB,C5AR1,TREM2,CCL8,CCL13,CCL22,CCL13,FAM124B,CCL20,,LILRB2
CD79B,CD79B,CD27,CD247,ZAP70,LCK,LAG3,LCK,SH2D1A,LCK,LCK,CSF2,CSF3R,CCL22,SIGLEC1,CCL8,FPR3,CCL22,,CXCL3,,C5AR1
FCGR2B,FCGR2B,TNFRSF17,LCK,CD7,SH2D1A,CXCL13,SH2D1A,GZMM,SH2D1A,SH2D1A,CCL4,FPR1,CD68,CCL5,SIGLEC1,CD68,FPR3,,GZMB,,CSF3R
FCRL2,FCRL2,PDK1,SH2D1A,DPP4,GZMM,CD247,GZMM,IL2RB,GZMM,GZMM,CCL5,S100A12,CCL7,IL2RA,PDCD1LG2,CD209,CCL8,,CSF2,,FPR1
HLA-DOB,HLA-DOB,REN,GZMM,CD2,KLRB1,LCK,KLRB1,ZAP70,IL2RB,IL2RB,APOL6,TLR2,CSF1,CCL19,CD68,CLEC7A,SIGLEC1,,CCL4,,S100A12
IRF8,IRF8,,KLRB1,CD3D,GZMA,SH2D1A,PVRIG,CD96,KLRB1,KLRB1,SOCS1,CD68,CXCL5,CXCL10,CD209,HLA-DQA1,PDCD1LG2,,IL1A,,TLR2
LTB,LTB,,PVRIG,CD3G,ZAP70,CD7,ZAP70,DPP4,PVRIG,PVRIG,CD247,CLEC7A,GPC4,CXCL11,MS4A6A,,CCL5,,IL1B,,CEACAM3
MS4A1,MS4A1,,GZMA,LY9,CD96,NKG7,CD7,CD2,GZMA,GZMA,LCK,MS4A6A,MARCO,IDO1,CD4,,IL2RA,,,,CXCR2
