Cell_state,HL_01,HL_02,HL_03,HL_04,HL_05,HL_06,HL_07,HL_08,HL_09,HL_10,HL_11,HL_12,HL_13,HL_14,HL_15,HL_16,HL_17,HL_18,HL_19,HL_20,HL_21,HL_22,HL_23,HL_24,HL_25,HL_26,HL_27,HL_28,HL_29,HL_30
"HRS,MHCII",0.449501812,0.931640625,0.712328767,0.877995643,0.256696125,0.516088328,0.463954318,0.970465311,0.899619151,0.658324821,0.900900901,0.068255688,0.623733719,0.405029428,0.340722496,0.855696203,0.590163934,0.938743781,0.863989108,0.529573051,0.96152476,0.779750182,0.953195001,0.814061956,0.327946393,0.794752915,0.900637487,0.853323387,0.409981658,0.771108179
"HRS,MHCI",0.827219203,0.620117188,0.98630137,0.338313103,NA,0.867823344,NA,0.35497353,0.271218716,0.128702758,0.543543544,0.008667389,NA,NA,0.802134647,0.021518987,0.967213115,0.855254975,0.996051736,0.831179005,0.992874955,0.940621038,0.983022872,0.998607727,0.245565629,0.599722376,0.919011233,0.253818068,0.327251665,0.587994723
"HRS,CD40",NA,NA,NA,0.998132586,0.964921822,0.931861199,0.974304069,0.975480635,0.987758433,0.768130746,0.96996997,0.677139762,0.958755427,0.983948636,0.916256158,0.948101266,0.762295082,0.777674129,0.759155888,0.991774383,0.645172782,0.911133893,0.959443527,0.756769927,0.659046117,0.631121599,0.379679932,0.639825684,0.941693214,0.56121372
"HRS,CD27-,ICOS-",0.17798913,0.478515625,0.059360731,0.697167756,0.30278722,0.116088328,0.302640971,0.518250209,0.593307943,0.97854954,0.942942943,0.837486457,0.732272069,0.840556447,0.90681445,0.978481013,0.262295082,NA,0.538053097,0.412064238,0.785179907,0.83904821,NA,0.463696485,NA,0.893642421,0.614916891,0.940952456,NA,NA
"HRS,B2M",0.242074275,0.508789063,0.949771689,0.463741052,0.488511217,0.915141956,0.799428979,0.926999164,0.177094668,0.053115424,0.078078078,0.166847237,0.024602026,0.520599251,0.63998358,0.182278481,0.991803279,0.822916667,0.992239619,0.822561692,0.921980762,0.696144819,0.995991511,0.991228681,0.724871896,0.310605219,0.6365296,0.442856582,0.187276764,0.81530343
"HRS,TIM3",0.779211957,0.922851563,0.98630137,0.639589169,0.299796057,0.80977918,0.135617416,0.832822513,0.376224157,0.009193054,0.144144144,0.226435536,0.062228654,0.108614232,0.008210181,0.108860759,0.680327869,0.590018657,0.61102791,0.796709753,0.045244033,0.954218038,0.167884933,NA,0.610169492,0.660799556,0.434197547,0.678104511,0.950477845,0.450131926
"HRS,PDL1",0.570425725,0.942382813,0.849315068,0.988795518,0.666621346,0.627129338,0.525339044,0.974644748,0.608813928,0.241062308,0.615615616,0.31744312,0.466714906,0.21776351,NA,0.226582278,0.221311475,0.124067164,0.742818244,0.622013318,0.491984325,0.853670381,0.819382221,0.188792203,0.251478124,0.13714603,0.282481634,0.413175769,0.471184477,0.417150396
"HRS,B2M,MHCI,MHCII",0.118432971,0.377929688,0.689497717,0.238095238,NA,0.461198738,NA,0.346057398,0.116702938,0.019407559,0.066066066,0.006500542,NA,NA,0.196223317,0.006329114,0.581967213,0.713774876,0.860721579,0.493928711,0.88956181,0.588205142,0.938929498,0.805429864,0.180922349,0.186063298,0.559810374,0.164500805,0.095279467,0.490237467
"HRS,KI67",0.64696558,0.750976563,0.753424658,0.411142235,0.502923182,0.442586751,0.563882941,0.432432432,0.726605005,0.615934627,0.489489489,0.434452871,0.338639653,0.747993579,0.652298851,0.558227848,0.491803279,0.738495025,0.630088496,0.757148453,0.801211258,0.425688618,0.763852865,0.531360947,0.480488766,0.235646863,0.267876861,0.513250363,0.427840525,0.523350923
"HRS,PD1-,LAG3-,TIM3",0.602128623,NA,0.698630137,0.609399315,0.14153637,0.576025237,0.131334761,0.670660351,0.342491839,0.009193054,0.135135135,0.185265439,0.052821997,0.104868914,0.007799672,0.107594937,0.12295082,0.559079602,0.309598366,0.748922836,0.026006413,0.699840829,0.157627918,NA,0.50374458,0.643420322,0.16392091,0.668682031,NA,0.414907652
