Population,PCount,PCT
"HRS,MHCII",209276,0.7845192441060591
"HRS,MHCI",187351,0.7023283362760865
"HRS,CD40",178621,0.6696019223488043
"HRS,CD27-,ICOS-",162057,0.6075079566796747
"HRS,B2M",159387,0.5974988472654889
"HRS,TIM3",149325,0.5597791248214667
"HRS,PDL1",116269,0.43586110205168
"HRS,B2M,MHCI,MHCII",115639,0.4334994020775462
"HRS,KI67",113748,0.42641055342502726
"HRS,PD1-,LAG3-,TIM3",102980,0.38604422751792833
"HRS,PDL1-,B7H3-,IDO1-",96756,0.3627121312655338
"HRS,PD1-,LAG3-,TIM3-",92088,0.34521305907623795
"HRS,MHCII,KI67",88397,0.33137649621190823
"HRS,PDL1,B7H3-,IDO1-",85985,0.3223345591680818
"HRS,MHCI,KI67",78679,0.2949463369283655
"HRS,CD40,KI67",78165,0.29301948964788177
"HRS,B2M,KI67",69202,0.25941962160318194
"HRS,CD27-,ICOS-,KI67",66551,0.24948173806123175
"HRS,B2M,MHCI,MHCII,PDL1",62426,0.23401822632583213
"HRS,CD27",62287,0.23349715283947564
"HRS,TIM3,KI67",54160,0.2030312231731501
"HRS,B2M,MHCI,MHCII,PDL1-",52736,0.19769303148558426
"HRS,PDL1,KI67",52076,0.19521886960792031
"HRS,B2M,MHCI,MHCII,KI67",49231,0.18455373242314166
"HRS,PD1-,LAG3-,TIM3-,KI67",47372,0.17758484313438822
"HRS,PD1",41956,0.15728172081707323
"HRS,PDL1-,B7H3-,IDO1-,KI67",41072,0.1539678433930506
"HRS,B2M-,MHCI,MHCII",40712,0.15261830055068845
"HRS,PD1-,LAG3-,TIM3,KI67",39753,0.14902326836784038
"HRS,PDL1,B7H3-,IDO1-,KI67",38227,0.14330270620827196
"HRS,CD40L",36067,0.13520544915409904
"HRS,B2M-,MHCI-,MHCII",35981,0.1348830583639792
"HRS,ICOS",35863,0.13444070821009382
"HRS,CD27,ICOS-",33457,0.12542126354697347
"HRS,PD1,LAG3-,TIM3",25562,0.09582503926794798
"HRS,B2M-,MHCI-,MHCII,PDL1-",25289,0.09480163594582335
"HRS,CD27,ICOS",24515,0.09190011883474473
"HRS,CD27,KI67",22863,0.08570721668034953
"HRS,B2M,MHCI,MHCII-",21660,0.08119749434878935
"HRS,VISTA",20348,0.07627916043440285
"HRS,B2M-,MHCI,MHCII,KI67",16261,0.06095810044347477
