Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
HL_01,0.14969871,0.153625612,0,0.07322108,0.036722712,0.059016763,0.019855425,0.297540099,0,0,0,0,0,0.067605859,0,0,0.004517993,0.113444789,0.024750957,0,0,0,0,0.612979892,0.804468329
HL_02,0,0.2307956,0,0.078571247,0,0.120537887,0.028401723,0.328905804,0.032124289,0,0,0.004798589,0.002691201,0.076722811,0,0,0,0.045752967,0.050697881,0,0,0,0.01,0.412130295,0.910671835
HL_03,0.052538846,0.171813732,0.041981159,0.118337857,0,0.121098432,0.000978422,0.097368282,0.03458158,0.007886282,0,0.005307625,0.001979717,0.131339565,0.026691586,0.022918585,0,0.122960914,0.017177581,0,0.017436052,0.007603785,0.03,0.356329493,0.932094312
HL_04,0,0.182076362,0.032045787,0.109387757,0,0,0.02451598,0.069342609,0,0.045839298,0,0.018408084,0,0.201318367,0,0.20377876,0,0.063405738,0.035445751,0,0,0.014435509,0.01,0.478220677,0.880349364
HL_05,0,0.178602945,0.016596501,0.094158972,0,0.165799336,0.024373829,0.2615788,0.064768433,0,0,0.003027556,0,0.058809882,0.000785696,0.01221484,0.007105388,0.057918447,0.039205615,0,0,0.015053761,0.01,0.455289969,0.887778872
HL_06,0.002571505,0.056336458,0.015241156,0.057633822,0,0.033431953,0.05014435,0.294012637,0.160753736,0.016774173,0,0,0.008987675,0.12149538,0.100297941,0,0.028646989,0,0.019431288,0,0.034240936,0,0.01,0.489443183,0.869551518
HL_07,0,0.239216633,0,0.1100851,0,0.162825884,0.025886069,0.107242455,0.104177997,0.004849765,0,0.002893364,0,0.05708592,0.0024532,0.054020479,0,0.056076191,0.073186943,0,0,0,0.02,0.403007982,0.9128713
HL_08,0,0.049004579,0.03658477,0.110837842,0,0,0.029513911,0.133237838,0.063591406,0.092498486,0,0,0,0.257105284,0.077582065,0.002405751,0,0.12172439,0.005696561,0,0,0.020217116,0.01,0.465337953,0.882486506
HL_10,0.157551534,0.067632438,0.03943793,0.134736374,0,0.090939409,0.057848464,0.124320821,0.027486707,0.094014525,0,0,0,0.100325031,0.035440736,0.017451202,0,0,0.013329089,0,0.03948574,0,0,0.588690854,0.820976308
HL_13,0,0.171786121,0.23000458,0.120540881,0,0,0.000317741,0.070544669,0.014046926,0.036992984,0,0,0,0.066728797,0.032532499,0.066857592,0,0.10171772,0.05976773,0,0.008184818,0.01997694,0.24,0.180857802,0.989241373
HL_15,0.233932949,0.08471469,0,0.092216908,0,0.051980507,0.031214065,0.199435089,0,0,0,0.007720253,0,0.077263162,0.014633629,0.048901737,0.023233808,0.058562159,0.076191042,0,0,0,0.01,0.481903638,0.878389168
HL_16,0.149951566,0.093352265,0.054348524,0,0.174054782,0.168670149,0.035339944,0.009186092,0,0,0.062890138,0,0,0.059441554,0,0.054661382,0.028258254,0.109845348,0,0,0,0,0.01,0.484543587,0.875996192
HL_17,0.157529946,0.13187802,0.001571374,0.240173197,0,0,0.052006152,0.060647243,0.070535017,0.055469364,0,0,0.000761942,0.061253461,0.164694519,0.003479765,0,0,0,0,0,0,0,0.565866416,0.8265316
