GeneID	GeneSymbol	HL_17_R1	HL_17_R2	HL_18_R1_a	HL_18_R2_a	HL_18_R1_b	HL_18_R2_b	HL_30_R1	HL_30_R2	HL_33_R1	HL_33_R2	HL_34_R1	HL_34_R2	HL_38_R1	HL_38_R2	HL_39_R1	HL_39_R2
ENSG00000000003.10	TSPAN6	318	263	227	199	262	242	358	324	320	397	369	364	10	13	23	18
ENSG00000000005.5	TNMD	2	3	0	0	0	4	43	39	0	1	0	3	2	3	1	0
ENSG00000000419.8	DPM1	704	620	1246	1187	465	467	1222	1303	903	1007	891	898	190	181	207	321
ENSG00000000457.8	SCYL3	298	222	565	529	129	134	909	842	344	350	229	270	54	52	44	76
ENSG00000000460.12	C1orf112	137	153	321	338	122	128	308	321	260	233	194	210	37	55	45	65
ENSG00000000938.8	FGR	2029	1899	2041	2276	2507	2833	3557	3418	1979	2164	3153	3251	1960	2103	987	1585
ENSG00000000971.11	CFH	7156	6358	2718	2487	4194	4845	2748	2989	7699	8587	8246	8565	524	597	403	631
ENSG00000001036.8	FUCA2	2041	1740	1501	1468	1669	2003	1213	1276	1865	2195	2989	2947	437	479	365	555
ENSG00000001084.6	GCLC	868	789	1283	1132	451	547	1302	1351	496	538	541	625	169	206	228	334
ENSG00000001167.10	NFYA	695	690	1342	1234	449	456	1670	1706	956	1022	745	765	183	213	180	320
ENSG00000001460.13	STPG1	121	122	116	162	106	96	242	243	136	151	106	105	21	17	17	27
ENSG00000001461.12	NIPAL3	658	601	1263	1232	438	445	1791	1747	806	867	543	532	130	152	131	199
ENSG00000001497.12	LAS1L	1197	1120	1609	1687	1183	1453	1820	1775	1568	1758	1458	1490	318	317	246	356
ENSG00000001561.6	ENPP4	358	338	788	767	175	201	983	1061	428	471	148	128	122	141	91	124
ENSG00000001617.7	SEMA3F	356	382	332	373	723	697	548	506	794	780	559	625	104	146	46	75
ENSG00000001626.9	CFTR	0	1	19	21	8	0	35	25	27	28	2	2	48	50	0	1
ENSG00000001629.5	ANKIB1	757	667	1503	1470	386	414	1884	1760	913	999	903	931	193	262	312	415
ENSG00000001630.11	CYP51A1	21	17	28	23	5	5	29	40	16	17	10	6	5	5	0	1
ENSG00000001631.10	KRIT1	652	579	1365	1291	355	393	1687	1650	727	750	561	596	151	178	201	278
ENSG00000002016.12	RAD52	259	205	355	321	146	190	367	397	219	254	271	240	84	97	69	118
ENSG00000002079.8	MYH16	1	5	2	1	1	4	1	1	3	0	0	3	0	0	0	0
ENSG00000002330.9	BAD	547	603	590	534	1028	839	480	548	796	670	509	690	107	153	48	44
ENSG00000002549.8	LAP3	6270	5231	8653	8266	3467	3992	7109	7136	7621	8511	15403	15867	4310	5076	1739	2668
ENSG00000002586.13	CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.5	HS3ST1	219	185	350	337	111	125	432	405	418	433	309	306	23	20	11	14
ENSG00000002726.15	AOC1	68	60	70	70	307	355	838	759	212	205	21	23	1	4	1	0
ENSG00000002745.8	WNT16	17	26	35	33	9	7	75	81	16	18	13	21	0	1	2	12
ENSG00000002746.9	HECW1	2	3	3	2	8	1	3	5	9	15	4	1	1	0	1	1
ENSG00000002822.11	MAD1L1	829	802	1242	1222	1304	1367	1147	1171	1343	1219	854	998	178	173	167	231
ENSG00000002834.13	LASP1	5806	5076	8037	8371	4108	4437	10697	10082	9447	10159	8335	8731	2181	2392	2074	3243
ENSG00000002919.10	SNX11	1065	999	1548	1595	969	1199	1698	1534	1818	2016	1430	1399	398	430	214	279
ENSG00000002933.3	TMEM176A	3558	3178	3388	3650	5732	6867	3321	3122	7547	8394	7935	8444	1259	1424	530	869
ENSG00000003056.3	M6PR	2079	1778	3680	3838	1013	1134	5278	5027	2349	2682	2735	2825	565	693	385	513
ENSG00000003096.9	KLHL13	80	59	19	13	19	15	155	139	45	36	31	35	4	6	1	0
ENSG00000003137.4	CYP26B1	198	191	235	221	170	144	217	209	544	574	586	648	63	82	57	80
ENSG00000003147.13	ICA1	433	377	860	877	489	487	523	489	723	841	449	417	117	121	147	241
ENSG00000003249.9	DBNDD1	142	109	114	132	67	84	132	137	178	183	37	53	13	18	14	30
ENSG00000003393.10	ALS2	394	375	542	554	291	346	679	699	590	557	546	548	112	148	102	144
ENSG00000003400.10	CASP10	1497	1277	847	848	530	578	1026	1003	544	615	845	839	227	291	161	295
ENSG00000003402.14	CFLAR	3246	2883	7028	7002	3861	4377	5328	5137	4741	5176	4010	3919	1166	1402	905	1262
ENSG00000003436.10	TFPI	3238	2970	1860	1735	855	1017	1122	1139	1606	1857	2414	2305	220	283	245	360
ENSG00000003509.11	NDUFAF7	476	370	877	784	432	524	881	976	691	766	667	657	138	167	157	248
ENSG00000003756.12	RBM5	4462	3820	5808	6210	3130	3532	7085	6708	4728	5146	4779	4820	1765	2063	1205	1817
ENSG00000003987.9	MTMR7	37	21	48	44	28	22	85	93	34	44	38	38	6	8	10	13
ENSG00000003989.12	SLC7A2	427	371	355	349	457	492	1215	1246	458	490	928	932	40	39	20	24
ENSG00000004059.6	ARF5	2881	2498	3197	3499	4257	4699	3693	3566	4690	4740	4226	4573	628	658	559	941
ENSG00000004139.9	SARM1	95	71	188	170	101	107	249	248	177	171	112	97	24	35	21	31
ENSG00000004142.7	POLDIP2	1714	1639	2413	2667	1987	2385	2505	2410	2672	2875	2548	2716	457	472	401	506
ENSG00000004399.8	PLXND1	4724	4452	4503	4631	6351	6398	6760	6406	7741	7506	8167	9039	1729	1943	837	1366
ENSG00000004455.12	AK2	2850	2422	4268	4385	2772	3333	4577	4291	4437	4912	4305	4455	856	1037	747	1147
ENSG00000004468.7	CD38	1469	1303	1243	1198	356	456	705	705	730	711	750	807	417	465	434	644
ENSG00000004478.5	FKBP4	1706	1481	1571	1615	1364	1488	2315	2292	2451	2711	3100	3388	549	562	359	526
ENSG00000004487.11	KDM1A	1767	1462	2160	2200	1805	1964	2724	2721	2414	2939	2308	2357	266	283	302	484
ENSG00000004534.10	RBM6	4729	3986	6163	6122	4275	4703	7236	7457	4286	4472	6926	7146	2085	2400	1475	2189
ENSG00000004660.10	CAMKK1	286	230	265	354	395	407	258	210	301	341	264	300	61	68	49	55
ENSG00000004700.11	RECQL	654	575	1277	1253	212	246	2112	2079	771	793	827	769	169	185	125	196
ENSG00000004766.11	CCDC132	487	472	779	802	249	305	1018	1111	512	632	630	584	153	170	150	215
ENSG00000004776.7	HSPB6	656	636	190	216	789	963	537	473	332	377	330	371	140	136	9	7
ENSG00000004777.14	ARHGAP33	427	420	569	657	472	499	653	605	608	634	565	593	155	155	102	161
ENSG00000004779.5	NDUFAB1	1118	1040	1436	1477	1272	1470	1077	1153	1595	1849	1838	1937	354	401	289	392
ENSG00000004799.7	PDK4	5860	5332	1080	993	978	1054	3112	3213	418	532	686	699	34	52	40	56
ENSG00000004809.9	SLC22A16	22	22	34	67	58	80	10	11	5	7	17	22	1	7	0	0
ENSG00000004838.9	ZMYND10	22	18	25	31	41	41	40	33	27	31	64	63	9	17	7	9
ENSG00000004846.12	ABCB5	2	1	1	2	1	1	1	3	1	1	4	2	0	0	0	0
ENSG00000004848.6	ARX	8	25	8	7	13	10	5	3	1	1	0	2	0	0	0	0
ENSG00000004864.9	SLC25A13	396	337	580	556	407	448	588	637	540	568	523	559	95	118	91	123
ENSG00000004866.14	ST7	467	470	467	494	318	353	521	487	415	456	755	756	89	77	95	154
ENSG00000004897.7	CDC27	1370	1280	2118	2030	833	960	2312	2433	1409	1668	1609	1498	368	407	341	469
ENSG00000004939.9	SLC4A1	0	0	15	11	1	0	0	2	4	2	1	0	0	0	0	0
ENSG00000004948.9	CALCR	13	8	1	1	3	4	3	5	4	4	7	1	0	0	0	2
ENSG00000004961.10	HCCS	492	415	682	673	337	349	823	820	641	692	618	650	166	184	141	224
ENSG00000004975.7	DVL2	997	902	1316	1444	929	998	1846	1791	1462	1468	1058	1219	166	184	162	263
ENSG00000005001.5	PRSS22	0	1	3	1	1	5	23	17	2	0	2	0	3	1	0	1
ENSG00000005007.8	UPF1	2356	2252	4691	4711	2923	2918	5580	5612	3818	3645	2179	2467	787	847	407	683
ENSG00000005020.8	SKAP2	1325	1153	1820	1754	505	540	2565	2383	1179	1332	1392	1442	397	459	309	391
ENSG00000005022.5	SLC25A5	5710	5010	8511	8777	4154	4712	7765	7720	8291	9323	6669	6815	1484	1649	1500	2239
ENSG00000005059.11	CCDC109B	1241	1168	2571	2457	1130	1200	2388	2354	1854	2027	1641	1586	253	291	265	476
ENSG00000005073.5	HOXA11	1	0	0	1	2	1	1	1	1	2	2	2	0	0	0	0
ENSG00000005075.11	POLR2J	664	610	811	795	1202	1224	752	785	1097	1109	862	982	162	171	163	313
ENSG00000005100.8	DHX33	383	342	765	812	362	413	751	762	572	601	596	558	153	148	105	152
ENSG00000005102.8	MEOX1	667	630	449	489	314	366	585	534	573	595	702	715	334	334	210	288
ENSG00000005108.10	THSD7A	46	33	25	23	23	41	59	44	40	40	47	56	1	4	4	7
ENSG00000005156.7	LIG3	586	507	755	726	393	435	916	926	648	669	567	549	141	142	104	151
ENSG00000005175.5	RPAP3	621	538	1178	1176	392	410	1603	1533	823	919	623	706	139	199	138	231
ENSG00000005187.7	ACSM3	54	48	88	136	44	43	199	195	90	97	60	56	15	14	17	23
ENSG00000005189.15	AC004381.6	79	74	130	122	92	97	96	120	117	108	138	152	27	30	14	27
ENSG00000005194.10	CIAPIN1	1131	963	1807	1834	1146	1484	1358	1398	1731	1953	1444	1390	305	310	180	251
ENSG00000005206.11	SPPL2B	1320	1483	2833	2694	2132	2185	2612	2865	2047	1639	965	1184	479	515	186	280
ENSG00000005238.15	FAM214B	564	478	537	585	770	903	733	755	1090	1228	1346	1487	312	345	185	282
ENSG00000005243.5	COPZ2	553	528	232	248	1662	1948	222	215	1505	1669	1548	1511	51	44	15	31
ENSG00000005249.8	PRKAR2B	407	350	753	753	194	208	1678	1639	387	462	522	552	308	364	353	540
ENSG00000005302.13	MSL3	1928	1760	4232	4079	1645	1866	4259	4255	2682	2928	2235	2295	658	807	675	1073
ENSG00000005339.8	CREBBP	1802	1693	3658	3623	1460	1452	5239	5164	2388	2454	1762	1896	394	485	395	673
ENSG00000005379.11	BZRAP1	626	587	741	805	375	393	1157	1171	444	402	492	488	224	272	201	323
ENSG00000005381.6	MPO	186	140	212	252	36	52	361	341	417	433	189	210	6	6	3	1
ENSG00000005421.4	PON1	1	0	0	1	1	1	1	4	0	0	2	0	0	1	0	0
ENSG00000005436.9	GCFC2	377	329	793	722	325	400	853	797	509	588	572	602	128	142	101	187
ENSG00000005448.12	WDR54	331	307	667	697	611	701	849	805	763	819	1083	1163	124	145	100	196
ENSG00000005469.7	CROT	276	233	407	377	214	201	600	553	321	365	322	323	70	81	86	104
ENSG00000005471.11	ABCB4	207	192	743	692	127	144	765	805	311	310	139	120	60	62	28	39
ENSG00000005483.15	KMT2E	1526	1483	3409	3325	726	823	6108	5901	1760	1964	1515	1496	407	492	485	753
ENSG00000005486.12	RHBDD2	1373	1318	1869	1994	2812	3252	2200	2184	2477	2539	2348	2668	595	593	433	673
ENSG00000005513.9	SOX8	175	191	475	467	48	53	153	151	228	211	130	173	95	108	53	98
